artist_id,artist_name,genres,gender,category
0lNJF6sbrXXPubqKkkyK23,Mayberg,neue neue deutsche welle,male,Solo Act
4P3RXClUWZnQAO6BfrEQXb,ART,german hip hop,male,Solo Act
1tnX93BHWyMdBSLhwAzo1j,Mudi,german hip hop,male,Solo Act
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,"emo rap,miami hip hop,rap",male,Solo Act
7hr9W3IjXcm3UlLY7guLk5,Henry Moodie,singer-songwriter pop,male,Solo Act
0ZRBa9pTfhhCsJW95F1ugg,Yall,,,Band
69YKwunlA0xl2yMS12cyMu,Gabriela Richardson,,female,Solo Act
49jTY62Cpw3RYo4dLuG43W,Cian Ducrot,"irish pop,singer-songwriter pop",male,Solo Act
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,"garage rock,modern rock,permanent wave,rock,sheffield indie",,Band
3Z3aTg9PwJ37e8xeO0aUC9,01099,german hip hop,,Band
7mx6iGwPF157vXwYcl1DQ3,Restricted,hypertechno,,Band
5Yo5iU2nf4H41waPl4ZnS1,LEA,german pop,female,Solo Act
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,"cloud rap,emo rap,lgbtq+ hip hop",male,Solo Act
6AMd49uBDJfhf30Ak2QR5s,Coi Leray,"new jersey underground rap,trap queen",female,Solo Act
5RgzUZORebl59TcvCRZsD2,Zachi,,male,Solo Act
6L7j9oK58YpVLZClqX0iF4,ARY,,female,Solo Act
4PUr4W5mWlzMkyVpSiX2ZN,Makar,belgian hip hop,,Band
6Lmd2o8n2pZUkFb8RnGzhb,SW43 L33 D1DO,,,Unknown
0dlDsD7y6ccmDm8tuWCU6F,Freddie Dredd,"aesthetic rap,meme rap,phonk",male,Solo Act
6AFA7y2tNohNcpaLwDRyxx,KXXMA,"hypertechno,nu gabber",male,Solo Act
3rZxAl7fnH4NDynhJm3MUm,Kolja Goldstein,german hip hop,male,Solo Act
57vWImR43h4CaDao012Ofp,Steve Lacy,afrofuturism,male,Solo Act
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,"chicago rap,melodic rap,rap",male,Solo Act
4PvnP3yCzrT289cX3wCdOx,Yung Hurn,"cloud rap,german cloud rap,german hip hop,phonk",male,Solo Act
07CimrZi5vs9iEao47TNQ4,Flowdan,grime,male,Solo Act
4VuARVJiWGsH2msKTdsKdQ,Veysel,"albanian hip hop,german drill,german hip hop",male,Solo Act
0jEyGu5QKLxQ2tIZVnRbfE,Monk,"german hip hop,german trap",male,Solo Act
5he5w2lnU9x7JFhnwcekXX,Skrillex,"brostep,complextro,edm,electro,pop dance",male,Solo Act
1ul8iLt2WnFe2UIyovjg7q,reezy,"german hip hop,german r&b",male,Solo Act
